Filename,Unique Words,Table Capacity,Collisions 1,Collisions 2,Collisions 3,Collisions 4,Collisions 5,Collisions 6
23210-0.txt,2549,3187,1614,843,2208,818,804,776
3254.txt,69243,86561,67148,26866,68695,21559,21589,21468
30044.txt,1396,1747,731,441,1216,417,434,415
39706.txt,3235,4049,2348,1167,3036,986,977,1017
51493.txt,1850,2333,1098,571,1647,594,591,593
32040.txt,2440,3061,1547,806,2234,743,755,771
51268.txt,2630,3299,1789,849,2423,827,827,792
51687.txt,2315,2897,1448,777,2114,739,729,707
29503.txt,1756,2203,1012,563,1556,537,536,552
51296.txt,1978,2473,1210,637,1788,605,615,586
5592.txt,10715,13397,9389,3772,10425,3287,3333,3353
32735.txt,2500,3137,1631,822,2290,764,757,759
32133.txt,1933,2417,1187,607,1739,591,596,605
9790-8.txt,15762,19709,14159,5695,15373,4912,4880,4878
57040-0.txt,12224,15287,10765,3961,11783,3790,3751,3849
59368.txt,1732,2179,968,550,1536,540,556,561
2781-0.txt,4487,5623,3259,1531,4017,1359,1391,1400
32078.txt,2370,2963,1535,780,2167,739,746,743
40745-8.txt,9208,11519,7877,3175,8894,2839,2901,2885
34766-0.txt,14819,18523,13278,5360,14143,4618,4692,4578
32046-8.txt,17405,21757,15887,6079,17010,5350,5429,5447
9629-8.txt,7038,8803,5771,2439,6761,2193,2159,2209
1982-0.txt,965,1213,383,377,795,278,283,301
6120-0.txt,13011,16267,11443,4597,12537,3984,4034,4090
10947-8.txt,15346,19183,13787,5396,14943,4784,4756,4774
42664.txt,1766,2207,1067,558,1590,562,543,548
31217-8.txt,15943,19937,14389,5684,15559,5099,4924,4981
17669-8.txt,15356,19207,13883,5399,14976,4779,4780,4807
23099.txt,1321,1657,656,421,1143,413,418,398
58991.txt,2369,2963,1526,803,2173,727,708,735
2327-8.txt,6701,8377,5405,2271,6407,2110,2034,2074
2334-0.txt,27913,34897,26038,10343,27120,8786,8647,8754
32845-8.txt,15796,19751,14290,5703,15435,5017,4916,4928
14744-8.txt,8525,10657,7243,2912,8229,2647,2669,2680
23942-8.txt,2008,2521,1219,646,1829,651,631,617
51008.txt,1544,1931,845,472,1367,481,477,502
51752.txt,2318,2897,1484,790,2115,742,743,732
30029-8.txt,1875,2347,1071,565,1670,553,585,574
1944-0.txt,8806,11027,7414,3184,8296,2697,2704,2746
38531-8.txt,15496,19373,13911,5406,15088,4808,4799,4779
31840.txt,1898,2377,1115,578,1709,580,572,641
57006-0.txt,7490,9371,6145,2677,7058,2308,2263,2356
